document,cited
http://localhost/publications/articles/Journal1/1951/Article10,http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding1
http://localhost/publications/articles/Journal1/1951/Article10,http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding3
http://localhost/publications/articles/Journal1/1951/Article10,http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding4
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding2
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding4
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1951/Inproceeding1
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1951/Inproceeding3
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1951/Inproceeding5
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1951/Inproceeding6
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1952/Inproceeding1
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1952/Inproceeding3
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1952/Inproceeding4
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1953/Inproceeding1
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1953/Inproceeding3
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1953/Inproceeding5
http://localhost/publications/articles/Journal2/1954/Article40,http://localhost/publications/inprocs/Proceeding1/1953/Inproceeding6
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding13,http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding3
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding13,http://localhost/publications/inprocs/Proceeding1/1951/Inproceeding2
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding13,http://localhost/publications/inprocs/Proceeding1/1951/Inproceeding5
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding13,http://localhost/publications/inprocs/Proceeding1/1952/Inproceeding2
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding13,http://localhost/publications/inprocs/Proceeding1/1952/Inproceeding4
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding13,http://localhost/publications/inprocs/Proceeding1/1953/Inproceeding2
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding13,http://localhost/publications/inprocs/Proceeding1/1953/Inproceeding5
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding13,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding1
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding13,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding3
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding13,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding5
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding13,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding6
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding37,http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding4
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding37,http://localhost/publications/inprocs/Proceeding1/1951/Inproceeding6
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding37,http://localhost/publications/inprocs/Proceeding1/1952/Inproceeding4
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding37,http://localhost/publications/inprocs/Proceeding1/1953/Inproceeding4
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding37,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding2
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding37,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding5
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding37,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding6
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1952/Inproceeding3
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1952/Inproceeding4
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1953/Inproceeding6
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding4
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding5
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding1
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding3
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding5
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding6
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding7
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding1
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding3
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding5
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding6
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding7
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding1
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding3
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding5
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding7
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding8
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding9
http://localhost/publications/articles/Journal3/1959/Article99,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding10
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1953/Inproceeding6
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding6
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding6
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding6
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding7
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding7
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding10
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding2
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding6
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding7
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding9
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1959/Inproceeding1
http://localhost/publications/articles/Journal1/1960/Article18,http://localhost/publications/inprocs/Proceeding1/1959/Inproceeding3
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1951/Inproceeding4
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1952/Inproceeding4
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding4
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding2
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding5
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding7
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding2
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding5
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding7
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding2
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding6
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding8
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding10
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding1
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding3
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding5
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding7
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding52,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding8
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding70,http://localhost/publications/inprocs/Proceeding1/1952/Inproceeding3
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding70,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding6
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding70,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding4
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding70,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding7
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding70,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding6
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding70,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding7
http://localhost/publications/inprocs/Proceeding2/1960/Inproceeding70,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding4
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1953/Inproceeding6
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding4
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding7
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding10
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding4
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding8
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding9
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1959/Inproceeding2
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1959/Inproceeding5
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1959/Inproceeding6
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1959/Inproceeding7
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1959/Inproceeding8
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1960/Inproceeding1
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1960/Inproceeding3
http://localhost/publications/articles/Journal5/1962/Article148,http://localhost/publications/inprocs/Proceeding1/1960/Inproceeding5
