Venue,title
http://localhost/publications/journals/Journal1/1940,Journal 1 (1940)
http://localhost/publications/journals/Journal1/1941,Journal 1 (1941)
http://localhost/publications/journals/Journal1/1942,Journal 1 (1942)
http://localhost/publications/journals/Journal1/1943,Journal 1 (1943)
http://localhost/publications/journals/Journal1/1944,Journal 1 (1944)
http://localhost/publications/journals/Journal1/1945,Journal 1 (1945)
http://localhost/publications/journals/Journal1/1946,Journal 1 (1946)
http://localhost/publications/journals/Journal1/1947,Journal 1 (1947)
http://localhost/publications/journals/Journal1/1948,Journal 1 (1948)
http://localhost/publications/journals/Journal1/1949,Journal 1 (1949)
http://localhost/publications/journals/Journal2/1949,Journal 2 (1949)
http://localhost/publications/journals/Journal1/1950,Journal 1 (1950)
http://localhost/publications/journals/Journal2/1950,Journal 2 (1950)
http://localhost/publications/journals/Journal1/1951,Journal 1 (1951)
http://localhost/publications/journals/Journal2/1951,Journal 2 (1951)
http://localhost/publications/journals/Journal1/1952,Journal 1 (1952)
http://localhost/publications/journals/Journal2/1952,Journal 2 (1952)
http://localhost/publications/journals/Journal1/1953,Journal 1 (1953)
http://localhost/publications/journals/Journal2/1953,Journal 2 (1953)
http://localhost/publications/journals/Journal1/1954,Journal 1 (1954)
http://localhost/publications/journals/Journal2/1954,Journal 2 (1954)
http://localhost/publications/journals/Journal3/1954,Journal 3 (1954)
http://localhost/publications/journals/Journal1/1955,Journal 1 (1955)
http://localhost/publications/journals/Journal2/1955,Journal 2 (1955)
http://localhost/publications/journals/Journal3/1955,Journal 3 (1955)
http://localhost/publications/journals/Journal1/1956,Journal 1 (1956)
http://localhost/publications/journals/Journal2/1956,Journal 2 (1956)
http://localhost/publications/journals/Journal3/1956,Journal 3 (1956)
http://localhost/publications/journals/Journal4/1956,Journal 4 (1956)
http://localhost/publications/journals/Journal1/1957,Journal 1 (1957)
http://localhost/publications/journals/Journal2/1957,Journal 2 (1957)
http://localhost/publications/journals/Journal3/1957,Journal 3 (1957)
http://localhost/publications/journals/Journal4/1957,Journal 4 (1957)
http://localhost/publications/journals/Journal1/1958,Journal 1 (1958)
http://localhost/publications/journals/Journal2/1958,Journal 2 (1958)
http://localhost/publications/journals/Journal3/1958,Journal 3 (1958)
http://localhost/publications/journals/Journal4/1958,Journal 4 (1958)
http://localhost/publications/journals/Journal5/1958,Journal 5 (1958)
http://localhost/publications/journals/Journal1/1959,Journal 1 (1959)
http://localhost/publications/journals/Journal2/1959,Journal 2 (1959)
http://localhost/publications/journals/Journal3/1959,Journal 3 (1959)
http://localhost/publications/journals/Journal4/1959,Journal 4 (1959)
http://localhost/publications/journals/Journal5/1959,Journal 5 (1959)
http://localhost/publications/journals/Journal1/1960,Journal 1 (1960)
http://localhost/publications/journals/Journal2/1960,Journal 2 (1960)
http://localhost/publications/journals/Journal3/1960,Journal 3 (1960)
http://localhost/publications/journals/Journal4/1960,Journal 4 (1960)
http://localhost/publications/journals/Journal5/1960,Journal 5 (1960)
http://localhost/publications/journals/Journal6/1960,Journal 6 (1960)
http://localhost/publications/journals/Journal1/1961,Journal 1 (1961)
http://localhost/publications/journals/Journal2/1961,Journal 2 (1961)
http://localhost/publications/journals/Journal3/1961,Journal 3 (1961)
http://localhost/publications/journals/Journal4/1961,Journal 4 (1961)
http://localhost/publications/journals/Journal5/1961,Journal 5 (1961)
http://localhost/publications/journals/Journal6/1961,Journal 6 (1961)
http://localhost/publications/journals/Journal1/1962,Journal 1 (1962)
http://localhost/publications/journals/Journal2/1962,Journal 2 (1962)
http://localhost/publications/journals/Journal3/1962,Journal 3 (1962)
http://localhost/publications/journals/Journal4/1962,Journal 4 (1962)
http://localhost/publications/journals/Journal5/1962,Journal 5 (1962)
http://localhost/publications/journals/Journal6/1962,Journal 6 (1962)
http://localhost/publications/journals/Journal7/1962,Journal 7 (1962)
http://localhost/publications/journals/Journal1/1963,Journal 1 (1963)
http://localhost/publications/journals/Journal2/1963,Journal 2 (1963)
http://localhost/publications/journals/Journal3/1963,Journal 3 (1963)
http://localhost/publications/journals/Journal4/1963,Journal 4 (1963)
http://localhost/publications/journals/Journal5/1963,Journal 5 (1963)
http://localhost/publications/journals/Journal6/1963,Journal 6 (1963)
http://localhost/publications/journals/Journal7/1963,Journal 7 (1963)
http://localhost/publications/journals/Journal8/1963,Journal 8 (1963)
http://localhost/publications/journals/Journal1/1964,Journal 1 (1964)
http://localhost/publications/journals/Journal2/1964,Journal 2 (1964)
http://localhost/publications/journals/Journal3/1964,Journal 3 (1964)
http://localhost/publications/journals/Journal4/1964,Journal 4 (1964)
http://localhost/publications/journals/Journal5/1964,Journal 5 (1964)
http://localhost/publications/journals/Journal6/1964,Journal 6 (1964)
http://localhost/publications/journals/Journal7/1964,Journal 7 (1964)
