inproc,author,booktitle,title,proc,ee,page,url,yr,abstract
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding1,Lotta Francoise,fits vialing lexicons,vialing imprisonment vivisects,Proceeding 1 (1950),http://www.summerhouses.tld/lexicons/imprisonment.html,47,http://www.lexicons.tld/vivisects/gipper.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding1,Terao Asley,fits vialing lexicons,vialing imprisonment vivisects,Proceeding 1 (1950),http://www.summerhouses.tld/lexicons/imprisonment.html,47,http://www.lexicons.tld/vivisects/gipper.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding1,Paul Erdoes,fits vialing lexicons,vialing imprisonment vivisects,Proceeding 1 (1950),http://www.summerhouses.tld/lexicons/imprisonment.html,47,http://www.lexicons.tld/vivisects/gipper.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding2,Terao Asley,imprisonment gipper articulation,gipper reliable vernally,Proceeding 1 (1950),http://www.vivisects.tld/articulation/reliable.html,173,http://www.articulation.tld/vernally/rationally.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding2,Paul Erdoes,imprisonment gipper articulation,gipper reliable vernally,Proceeding 1 (1950),http://www.vivisects.tld/articulation/reliable.html,173,http://www.articulation.tld/vernally/rationally.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding4,Karina Eggington,repealers boorishly failures,boorishly outwork exempla,Proceeding 1 (1950),http://www.fortuning.tld/failures/outwork.html,9,http://www.failures.tld/exempla/rosing.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding4,Paul Erdoes,repealers boorishly failures,boorishly outwork exempla,Proceeding 1 (1950),http://www.fortuning.tld/failures/outwork.html,9,http://www.failures.tld/exempla/rosing.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding5,Leonora Peli,outwork rosing flayed,rosing oversleeping vivisectionists,Proceeding 1 (1950),http://www.exempla.tld/flayed/oversleeping.html,32,http://www.flayed.tld/vivisectionists/strips.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding5,Paul Erdoes,outwork rosing flayed,rosing oversleeping vivisectionists,Proceeding 1 (1950),http://www.exempla.tld/flayed/oversleeping.html,32,http://www.flayed.tld/vivisectionists/strips.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding7,Shaunene Libera,figged snugly reinstitution,snugly maceraters degasses,Proceeding 1 (1950),http://www.demanders.tld/reinstitution/maceraters.html,137,http://www.reinstitution.tld/degasses/foragers.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding7,Mora Christofferse,figged snugly reinstitution,snugly maceraters degasses,Proceeding 1 (1950),http://www.demanders.tld/reinstitution/maceraters.html,137,http://www.reinstitution.tld/degasses/foragers.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding7,Paul Erdoes,figged snugly reinstitution,snugly maceraters degasses,Proceeding 1 (1950),http://www.demanders.tld/reinstitution/maceraters.html,137,http://www.reinstitution.tld/degasses/foragers.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding8,Llyn Hardge,maceraters foragers alerters,foragers fashioners spurting,Proceeding 1 (1950),http://www.degasses.tld/alerters/fashioners.html,113,http://www.alerters.tld/spurting/bloodless.html,1950,""
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding8,Paul Erdoes,maceraters foragers alerters,foragers fashioners spurting,Proceeding 1 (1950),http://www.degasses.tld/alerters/fashioners.html,113,http://www.alerters.tld/spurting/bloodless.html,1950,""
