yr,name,document
"",Eberhardine Hazim,http://localhost/publications/articles/Journal1/1957/Article25
"",Yayang Kuczenski,http://localhost/publications/articles/Journal1/1940/Article15
"",Luboslaw Dwight,http://localhost/publications/articles/Journal1/1961/Article12
"",Edwyn Spalinger,http://localhost/publications/articles/Journal4/1960/Article107
"",Lottchen Pillitteri,http://localhost/publications/articles/Journal1/1947/Article15
"",Bhamini Boissonneault,http://localhost/publications/articles/Journal2/1961/Article73
"",Pittheus Gerdel,http://localhost/publications/articles/Journal3/1962/Article55
"",Estelita Milteer,http://localhost/publications/articles/Journal2/1963/Article59
"",Gudula Eiselein,http://localhost/publications/articles/Journal3/1963/Article96
"",Gudula Eiselein,http://localhost/publications/articles/Journal1/1964/Article20
"",Norogumi Gargano,http://localhost/publications/articles/Journal5/1965/Article137
"",Gergios Flo,http://localhost/publications/articles/Journal5/1965/Article156
"",Corine Vaile,http://localhost/publications/articles/Journal5/1965/Article176
"",Kameel Powers,http://localhost/publications/articles/Journal4/1966/Article158
"",Kameel Powers,http://localhost/publications/articles/Journal2/1967/Article31
"",Typhoeus Mahoe,http://localhost/publications/articles/Journal3/1967/Article93
"",Tata Devara,http://localhost/publications/articles/Journal5/1967/Article163
"",Bret Bertha,http://localhost/publications/articles/Journal6/1967/Article229
"",Bret Bertha,http://localhost/publications/articles/Journal1/1968/Article27
"",Nizaar Vallero,http://localhost/publications/articles/Journal6/1967/Article232
"",Nizaar Vallero,http://localhost/publications/articles/Journal1/1968/Article30
"",Drte Motley,http://localhost/publications/articles/Journal9/1967/Article325
"",Fannie Chappie,http://localhost/publications/articles/Journal9/1967/Article330
"",Domeng Bascombe,http://localhost/publications/articles/Journal11/1967/Article419
"",Kawkab Ochinang,http://localhost/publications/articles/Journal4/1968/Article133
"",Agrata Caminita,http://localhost/publications/articles/Journal5/1968/Article203
"",Mitsuyo Ownes,http://localhost/publications/articles/Journal6/1968/Article227
"",Maariya Greuel,http://localhost/publications/articles/Journal6/1968/Article239
"",Marian Tylwalk,http://localhost/publications/articles/Journal11/1968/Article424
"",Marian Tylwalk,http://localhost/publications/articles/Journal1/1969/Article36
"",Nadjenka Tribue,http://localhost/publications/articles/Journal12/1969/Article448
"",Sebastion Depena,http://localhost/publications/articles/Journal1/1970/Article4
"",Mancel Seton,http://localhost/publications/articles/Journal6/1970/Article697
"",Aljona Carroway,http://localhost/publications/articles/Journal13/1970/Article685
"",Koia Eagleson,http://localhost/publications/articles/Journal14/1970/Article461
"",Addolgar Angelozzi,http://localhost/publications/articles/Journal15/1970/Article668
1970,Domaslava Laehn,http://localhost/publications/inprocs/Proceeding8/1970/Inproceeding324
"",Kinmochi Tyssens,http://localhost/publications/articles/Journal17/1970/Article556
"",Aloki Chawla,http://localhost/publications/articles/Journal17/1970/Article727
"",Jonathon Drexler,http://localhost/publications/articles/Journal4/1971/Article159
"",Alida Shipwash,http://localhost/publications/articles/Journal6/1971/Article210
"",Danielle Everts,http://localhost/publications/articles/Journal6/1971/Article214
"",Inkena Capwell,http://localhost/publications/articles/Journal7/1971/Article272
"",Kelsey Marcella,http://localhost/publications/articles/Journal4/1972/Article847
"",Meredydd Muehl,http://localhost/publications/articles/Journal8/1972/Article243
"",Dardanus Dobosh,http://localhost/publications/articles/Journal3/1957/Article108
"",Nauplius Gehlhausen,http://localhost/publications/articles/Journal4/1958/Article150
"",Fedon Ryburn,http://localhost/publications/articles/Journal5/1958/Article161
"",BwIch Stahlberg,http://localhost/publications/articles/Journal2/1959/Article63
"",Ajax Sier,http://localhost/publications/articles/Journal4/1959/Article162
"",Nickolas Tritle,http://localhost/publications/articles/Journal2/1961/Article209
"",Cassia Griep,http://localhost/publications/articles/Journal3/1962/Article77
"",Odintsova Zirkles,http://localhost/publications/articles/Journal3/1963/Article107
"",Odintsova Zirkles,http://localhost/publications/articles/Journal2/1964/Article32
"",Purdy Ailshire,http://localhost/publications/articles/Journal5/1963/Article182
"",Gislind Bureau,http://localhost/publications/articles/Journal7/1963/Article249
"",Achmed Gubser,http://localhost/publications/articles/Journal8/1963/Article299
"",Piminova Brohl,http://localhost/publications/articles/Journal3/1965/Article61
"",Omana Gladson,http://localhost/publications/articles/Journal4/1965/Article105
"",Catrina Beneke,http://localhost/publications/articles/Journal4/1967/Article143
"",Anjuli Rigg,http://localhost/publications/articles/Journal10/1967/Article365
"",Aldon Faul,http://localhost/publications/articles/Journal13/1967/Article508
"",Spitsislava Gunselman,http://localhost/publications/articles/Journal3/1968/Article81
"",Danice Joplin,http://localhost/publications/articles/Journal11/1968/Article440
"",Danice Joplin,http://localhost/publications/articles/Journal1/1969/Article46
"",Jelle Fland,http://localhost/publications/articles/Journal4/1969/Article138
"",Joann Bourbeau,http://localhost/publications/articles/Journal9/1969/Article360
"",Raffaello Herard,http://localhost/publications/articles/Journal1/1953/Article5
"",Tadasuke Canas,http://localhost/publications/articles/Journal12/1969/Article447
"",Lycurgus Duh,http://localhost/publications/articles/Journal15/1969/Article578
"",Ryutaro Fogelman,http://localhost/publications/articles/Journal1/1970/Article7
"",Isadorer Delfierro,http://localhost/publications/articles/Journal3/1970/Article92
"",Fenna Lecorchick,http://localhost/publications/articles/Journal3/1970/Article109
"",Yutaka Hafer,http://localhost/publications/articles/Journal3/1970/Article110
"",Ilse Belancer,http://localhost/publications/articles/Journal4/1970/Article138
"",Hidalgo Misner,http://localhost/publications/articles/Journal11/1970/Article391
"",Manda Mangine,http://localhost/publications/articles/Journal18/1970/Article596
"",Sidney Ackison,http://localhost/publications/articles/Journal18/1970/Article608
"",Sakuko Deigado,http://localhost/publications/articles/Journal9/1971/Article364
"",Sakuko Deigado,http://localhost/publications/articles/Journal1/1972/Article37
"",Frederica Bonnoitt,http://localhost/publications/articles/Journal10/1971/Article384
"",Frederica Bonnoitt,http://localhost/publications/articles/Journal2/1972/Article54
"",Yalenchka Riveiro,http://localhost/publications/articles/Journal13/1971/Article504
"",Cinda Sorrells,http://localhost/publications/articles/Journal16/1971/Article633
"",Idrees Narkier,http://localhost/publications/articles/Journal18/1971/Article726
"",Tristan Wolstenholme,http://localhost/publications/articles/Journal4/1972/Article127
"",Ameen Crasco,http://localhost/publications/articles/Journal5/1972/Article157
"",Hetty Cersey,http://localhost/publications/articles/Journal1/1956/Article28
"",Junichi Hagele,http://localhost/publications/articles/Journal3/1956/Article81
"",Marianne Dacquel,http://localhost/publications/articles/Journal4/1957/Article148
"",AbdulRauf Strothman,http://localhost/publications/articles/Journal4/1958/Article148
"",Keisuke Jager,http://localhost/publications/articles/Journal4/1959/Article120
"",May Hamiton,http://localhost/publications/articles/Journal4/1960/Article103
"",May Hamiton,http://localhost/publications/articles/Journal1/1961/Article29
"",Noach Goodard,http://localhost/publications/articles/Journal4/1960/Article110
"",Reinhild Penovich,http://localhost/publications/articles/Journal6/1961/Article191
"",Reinhild Penovich,http://localhost/publications/articles/Journal2/1962/Article34
"",Nelek Lounder,http://localhost/publications/articles/Journal4/1962/Article98
"",Iakovleva Schrull,http://localhost/publications/articles/Journal6/1962/Article197
"",Iakovleva Schrull,http://localhost/publications/articles/Journal1/1963/Article11
"",Ihaab Gebo,http://localhost/publications/articles/Journal4/1963/Article133
"",Drystan Phang,http://localhost/publications/articles/Journal7/1963/Article277
"",Lilka Fike,http://localhost/publications/articles/Journal4/1964/Article141
"",Lilka Fike,http://localhost/publications/articles/Journal1/1965/Article15
"",Kyrillosr Bruneau,http://localhost/publications/articles/Journal6/1964/Article206
"",Rachana Morch,http://localhost/publications/articles/Journal6/1964/Article211
"",Armndos Gutzman,http://localhost/publications/articles/Journal6/1964/Article214
"",Shaheera Thimmesch,http://localhost/publications/articles/Journal8/1964/Article277
"",Desreta Kinnick,http://localhost/publications/articles/Journal8/1966/Article328
"",Aetos Bitar,http://localhost/publications/articles/Journal1/1951/Article8
"",Holm Sauret,http://localhost/publications/articles/Journal12/1966/Article444
"",Dantae Sperlich,http://localhost/publications/articles/Journal3/1967/Article94
"",Philine Durol,http://localhost/publications/articles/Journal10/1967/Article397
"",Paquita Borgatti,http://localhost/publications/articles/Journal11/1967/Article423
"",Haranobu Ruf,http://localhost/publications/articles/Journal13/1967/Article473
"",Marilu Cesa,http://localhost/publications/articles/Journal13/1967/Article483
"",Elle Pittsinger,http://localhost/publications/articles/Journal5/1968/Article211
"",Edenia Mazikowski,http://localhost/publications/articles/Journal8/1968/Article305
"",Reina Dederich,http://localhost/publications/articles/Journal8/1968/Article306
"",Absyrtus Moe,http://localhost/publications/articles/Journal8/1968/Article319
"",Kriemhilde Biccum,http://localhost/publications/articles/Journal10/1968/Article377
"",Serge Kurutz,http://localhost/publications/articles/Journal4/1969/Article157
"",Danaus Dacanay,http://localhost/publications/articles/Journal2/1952/Article62
"",Annett Krystek,http://localhost/publications/articles/Journal7/1969/Article267
"",Rosette Delre,http://localhost/publications/articles/Journal12/1969/Article456
"",Taresa Huhn,http://localhost/publications/articles/Journal13/1969/Article466
"",Vasilisa Montanari,http://localhost/publications/articles/Journal15/1969/Article559
"",Maela Chamley,http://localhost/publications/articles/Journal1/1953/Article22
"",Florenzia Seminole,http://localhost/publications/articles/Journal2/1970/Article65
"",Lanka Farve,http://localhost/publications/articles/Journal5/1970/Article180
"",Tameyoshi Sulejmanovski,http://localhost/publications/articles/Journal7/1970/Article230
"",Przemo Llarena,http://localhost/publications/articles/Journal13/1970/Article416
"",Sun Biscaro,http://localhost/publications/articles/Journal13/1970/Article420
"",Arnode Buhlig,http://localhost/publications/articles/Journal18/1970/Article605
"",Habeeba Saffer,http://localhost/publications/articles/Journal4/1971/Article138
"",Lynn Kreiner,http://localhost/publications/articles/Journal4/1971/Article143
"",Birgitta Eschrich,http://localhost/publications/articles/Journal4/1971/Article144
"",Suzelly Marmerchant,http://localhost/publications/articles/Journal7/1971/Article261
"",Deangelo Augustson,http://localhost/publications/articles/Journal7/1971/Article262
"",Chimislava Niedzielski,http://localhost/publications/articles/Journal8/1971/Article307
"",Sanraku Wren,http://localhost/publications/articles/Journal12/1971/Article481
"",Aarif Scorgie,http://localhost/publications/articles/Journal14/1971/Article538
"",Isidor Mosgrove,http://localhost/publications/articles/Journal18/1971/Article716
"",Nelson Liquori,http://localhost/publications/articles/Journal20/1971/Article779
1955,Sherry Mullennix,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding11
1955,Sherry Mullennix,http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding12
"",Lynette Adamik,http://localhost/publications/articles/Journal4/1972/Article919
"",Natividad Blatter,http://localhost/publications/articles/Journal8/1972/Article253
"",Owein Hohm,http://localhost/publications/articles/Journal3/1956/Article86
"",Seison Maccarini,http://localhost/publications/articles/Journal2/1960/Article49
"",Kozue Efthimiou,http://localhost/publications/articles/Journal1/1940/Article20
"",Kozue Efthimiou,http://localhost/publications/articles/Journal1/1941/Article2
"",Jelizaveta Aubert,http://localhost/publications/articles/Journal2/1962/Article43
"",Uriana Hardon,http://localhost/publications/articles/Journal2/1962/Article48
"",Ish Georgiades,http://localhost/publications/articles/Journal5/1963/Article152
"",Milton Goodrum,http://localhost/publications/articles/Journal7/1963/Article235
"",Samantaka Allwood,http://localhost/publications/articles/Journal7/1963/Article275
"",Guillermina Wein,http://localhost/publications/articles/Journal7/1964/Article216
"",Caramel Canto,http://localhost/publications/articles/Journal9/1964/Article309
"",Fedyenka Terrasi,http://localhost/publications/articles/Journal1/1950/Article17
"",Shealin Deasis,http://localhost/publications/articles/Journal9/1965/Article315
"",Shealin Deasis,http://localhost/publications/articles/Journal1/1966/Article10
"",Agamemnon Bouras,http://localhost/publications/articles/Journal2/1950/Article62
"",Elfrun Cicerchia,http://localhost/publications/articles/Journal7/1966/Article266
"",Evelyn Orion,http://localhost/publications/articles/Journal7/1967/Article265
"",Evelyn Orion,http://localhost/publications/articles/Journal2/1968/Article62
"",Cherise Ducay,http://localhost/publications/articles/Journal9/1967/Article360
"",Earwine Freguson,http://localhost/publications/articles/Journal3/1968/Article78
"",Ludolfine Julson,http://localhost/publications/articles/Journal3/1968/Article104
"",Evanova Burn,http://localhost/publications/articles/Journal6/1968/Article222
"",Miliko Bramsen,http://localhost/publications/articles/Journal13/1969/Article479
"",Raaid Chrispen,http://localhost/publications/articles/Journal1/1943/Article13
"",Derrick Hochstetler,http://localhost/publications/articles/Journal14/1969/Article520
"",Mishon Syphard,http://localhost/publications/articles/Journal1/1970/Article41
"",Tawanna Wetz,http://localhost/publications/articles/Journal7/1970/Article237
"",Tashiya Marrable,http://localhost/publications/articles/Journal1/1943/Article21
"",Tashiya Marrable,http://localhost/publications/articles/Journal1/1944/Article6
1970,Sadeeqa Longinotti,http://localhost/publications/incolls/1970/Incollection7
"",Anjelita Elefritz,http://localhost/publications/articles/Journal19/1970/Article646
"",Szczepan Scot,http://localhost/publications/articles/Journal14/1971/Article546
"",Vivek Lao,http://localhost/publications/articles/Journal14/1971/Article557
"",Fukusaburu Ochwat,http://localhost/publications/articles/Journal16/1971/Article611
"",Aadila Sando,http://localhost/publications/articles/Journal16/1971/Article625
"",Igoryok Elcock,http://localhost/publications/articles/Journal16/1971/Article635
"",Sophia Ondrey,http://localhost/publications/articles/Journal20/1971/Article795
"",Janica Jeanmard,http://localhost/publications/articles/Journal4/1972/Article132
"",Rei Marchio,http://localhost/publications/articles/Journal2/1957/Article39
"",Ginessa Wisinger,http://localhost/publications/articles/Journal3/1959/Article97
"",Ochiyo Swiggum,http://localhost/publications/articles/Journal1/1960/Article4
"",Giurgevaia Boas,http://localhost/publications/articles/Journal2/1960/Article38
"",Grite Faddis,http://localhost/publications/articles/Journal1/1947/Article45
"",Grite Faddis,http://localhost/publications/articles/Journal1/1948/Article16
"",Muntaha Petell,http://localhost/publications/articles/Journal5/1962/Article154
"",Galan Stuzman,http://localhost/publications/articles/Journal5/1962/Article256
"",India Snipe,http://localhost/publications/articles/Journal3/1963/Article102
"",India Snipe,http://localhost/publications/articles/Journal1/1964/Article26
"",Abira Hemmig,http://localhost/publications/articles/Journal6/1963/Article219
"",Iphitus Phimpradapsy,http://localhost/publications/articles/Journal3/1965/Article91
"",Achates Valois,http://localhost/publications/articles/Journal2/1966/Article72
"",Tareefa Cuffie,http://localhost/publications/articles/Journal3/1966/Article113
"",Kitsa Mcdougall,http://localhost/publications/articles/Journal3/1968/Article85
"",Koichi Overpeck,http://localhost/publications/articles/Journal9/1968/Article342
"",Aqeel Bleeck,http://localhost/publications/articles/Journal12/1968/Article493
"",Aqeel Bleeck,http://localhost/publications/articles/Journal2/1969/Article72
"",Tekkan Hernandes,http://localhost/publications/articles/Journal4/1970/Article159
